,compound,date,negative,positive,source,text,tweets ago
67,0.4939,Sun Sep 23 19:04:06 +0000 2018,0.071,0.214,@BBC,"Get ready to learn the truth.

Don’t miss the epic finale of #Bodyguard. Tonight at 9pm on @BBCOne.

https://t.co/WBN1aXFHDl",68
68,0.0,Sun Sep 23 18:02:04 +0000 2018,0.0,0.0,@BBC,"🤔📆 Quiz: Can you guess which celebrity is the oldest? 

https://t.co/EVdI3SRIxf https://t.co/7hc2mzrx3B",69
69,0.5267,Sun Sep 23 17:02:01 +0000 2018,0.071,0.221,@BBC,"Falling leaves, dramatic skies, misty mornings... 🍂🌰🦊

7 signs that autumn is well and truly on its way. 👉… https://t.co/iNXWoE3zcW",70
70,0.3818,Sun Sep 23 16:04:03 +0000 2018,0.0,0.245,@BBC,"'We're in love but never have sex'. 

https://t.co/IOgVh8eiFC https://t.co/dCLDcKhQ0Y",71
71,0.8058,Sun Sep 23 15:03:04 +0000 2018,0.0,0.447,@BBC,"Sea dragons are so elegant 😍 #Oceans

https://t.co/yulAjV8D0S",72
72,0.3716,Sun Sep 23 14:02:06 +0000 2018,0.066,0.173,@BBC,"Low on cash but still want to whip up a mouthwatering meal? 🍝🥘🍛

Raid the store cupboard to create these delicious… https://t.co/eMfg1xSQEo",73
73,0.0,Sun Sep 23 12:44:40 +0000 2018,0.0,0.0,@BBC,"RT @BBCOne: The #Bodyguard finale is 75 minutes long. 
So here’s 75 reasons why we ❤️ this show. 

See you at 9pm for the epic conclusion.…",74
74,0.0,Sun Sep 23 11:02:02 +0000 2018,0.0,0.0,@BBC,"Meet Ross. He's swimming the entire coast of Britain and has faced wetsuit burns, ""salt tongue"" and jellyfish. 😬🌊

https://t.co/pj8THPs7g8",75
75,-0.5256,Sun Sep 23 10:04:02 +0000 2018,0.253,0.0,@BBC,"What's the most dangerous job in the world? #QI 🔥✂️😬

https://t.co/hQ7vwFLc1A",76
76,0.4019,Sun Sep 23 09:03:05 +0000 2018,0.0,0.137,@BBC,"*Googles how to become a special effects artist...*

😲🎬 Meet the team behind every gripping action sequence in… https://t.co/sTE4R5sVJE",77
77,0.5023,Sun Sep 23 08:03:04 +0000 2018,0.0,0.115,@BBC,"A lot has changed in 20 years, but do you remember what life was like in 1998? 🤔

Take the twenty years of change c… https://t.co/AP2Lr1Jeq1",78
78,0.0,Sun Sep 23 07:31:05 +0000 2018,0.0,0.0,@BBC,"A giant 300m-long spiderweb has appeared in Greece. The phenomenon is caused by Tetragnatha spiders, which can buil… https://t.co/WReys8HSJV",79
79,0.0,Sun Sep 23 07:03:01 +0000 2018,0.0,0.0,@BBC,"It's been just over a year since @Harry_Styles made his Live Lounge debut. 💕

His cover of Fleetwood Mac's 'The Cha… https://t.co/ZtNRkwd9bs",80
80,-0.296,Sat Sep 22 19:04:06 +0000 2018,0.121,0.0,@BBC,"Seeking a missing man, detective Jay Swan finds an outback community fractured by secrets. 

#MysteryRoad | 9pm |… https://t.co/7ogs71Algw",81
81,0.0,Sat Sep 22 18:06:53 +0000 2018,0.0,0.0,@BBC,RT @bbcthree: Me walking in on the drama I've caused just after I've caused it #Strictly https://t.co/VlbewRmJt8,82
82,0.68,Sat Sep 22 18:06:33 +0000 2018,0.0,0.259,@BBC,"RT @BBCiPlayer: Happy Birthday, @billiepiper! 🎂 🎈
Here's a throwback to her emotional goodbye in Doctor Who. https://t.co/Mb9fPYDiyH",83
83,0.5719,Sat Sep 22 17:03:07 +0000 2018,0.0,0.156,@BBC,Jack wanted to do something different to celebrate turning 106... so he became the oldest person ever to have zip-l… https://t.co/WVOmVlpIZz,84
84,0.4199,Sat Sep 22 16:14:07 +0000 2018,0.0,0.128,@BBC,"Get ready to start dancing! ✨💃🕺

This year's @BBCStrictly celebrities have had two weeks to rehearse their first ro… https://t.co/ADIc1vi0we",85
85,0.0,Sat Sep 22 15:04:05 +0000 2018,0.0,0.0,@BBC,"This is the first time this baby rhino has been outside! 😍🦏 #WorldRhinoDay

https://t.co/OJdiiKiyIK",86
86,-0.1308,Sat Sep 22 14:03:05 +0000 2018,0.132,0.075,@BBC,Pictures of sea life tangled in plastic waste mean the pressure is on to do more to help. But what can be recycled… https://t.co/RnQPBTRO44,87
87,-0.5574,Sat Sep 22 13:30:22 +0000 2018,0.194,0.0,@BBC,RT @BBCBreaking: Chas Hodges - one half of the musical duo Chas &amp; Dave - has died https://t.co/sLok83mgNk,88
88,0.6369,Sat Sep 22 13:30:08 +0000 2018,0.0,0.174,@BBC,"RT @BBC6Music: 📺 What’s the best thing you’ve watched on the iPlayer lately?
1) #KillingEve @bbcthree
2) #CanYouFeelIt @BBCFOUR
3) #TheBody…",89
89,0.4574,Sat Sep 22 13:04:09 +0000 2018,0.0,0.13,@BBC,"RT @bbcstrictly: It's getting real now. #Strictly Come Dancing, LIVE tonight 6.15pm @BBCOne. RT if you'll be watching! 🎉 https://t.co/uIRTh…",90
90,0.8908,Sat Sep 22 13:01:03 +0000 2018,0.0,0.384,@BBC,Amazing! 💧🍬👵 Lewis has invented jelly sweets filled with water to encourage his grandma with dementia to stay hydra… https://t.co/BAXUAFZYLQ,91
91,0.4574,Sat Sep 22 11:04:03 +0000 2018,0.0,0.166,@BBC,"The official trailer is here! 

""I’m the Doctor, when people need help, I never refuse."" #DoctorWho

https://t.co/0fLnk99haj",92
92,0.5965,Sat Sep 22 10:04:05 +0000 2018,0.0,0.204,@BBC,'I've had so much support from mums who thought that they couldn't do anything for themselves straight after they h… https://t.co/iKgJY3L64W,93
93,0.4574,Sat Sep 22 09:03:08 +0000 2018,0.0,0.13,@BBC,"Do you have any pictures of your family at Stonehenge? 

📷 👨‍👩‍👦‍👦 @EnglishHeritage needs your help! 

https://t.co/MxpcFHCYlq",94
94,0.0,Sat Sep 22 08:01:06 +0000 2018,0.0,0.0,@BBC,"Oops! 🤦‍♀️✈️

An airline has had to send a plane back to the paint shop after the company's name was spelled incorr… https://t.co/PtaEH3CPXf",95
95,0.4019,Sat Sep 22 07:31:05 +0000 2018,0.0,0.119,@BBC,"Many yoghurts are full of sugar and the public should not be lulled into thinking they are eating healthy products,… https://t.co/RJysRsxaZD",96
96,0.5093,Sat Sep 22 07:02:05 +0000 2018,0.0,0.148,@BBC,"The black-footed cat is the deadliest (but cutest?!) wild cat in the world. 😻 #BigCats 

https://t.co/FjFZDR7bZ8",97
97,0.8957,Fri Sep 21 19:10:09 +0000 2018,0.0,0.329,@BBC,"RT @BBCRadio1PR: Mum always knows best 👼 @RayBLK_ reveals who inspires her as she heads out on the #1XtraLive Inspire ME tour

#inspireme h…",98
98,0.2481,Fri Sep 21 18:03:06 +0000 2018,0.0,0.105,@BBC,"""Everybody will see this and think that I'm a trillionaire!""

After students gave their university cleaner £1,500 s… https://t.co/n2N1cHJky0",99
99,0.836,Fri Sep 21 17:03:01 +0000 2018,0.0,0.305,@BBC,"""Working on this project has been a tremendous labour of love"" 📖💕🥘

Meghan Markle celebrated the launch of her Gren… https://t.co/vbPiUJw3sr",100
100,0.0,Thu Sep 27 17:19:16 +0000 2018,0.0,0.0,@CBS,"Candice Bergen tells @colbertlateshow the presidential way tonight's @MurphyBrownCBS premiere imitates life, albeit… https://t.co/4Kbk8gt6nS",1
101,-0.34,Thu Sep 27 16:58:08 +0000 2018,0.25,0.169,@CBS,@marlagardner222 @jay_hernandez Good idea. The theme song is a dead giveaway. 😉,2
102,0.0,Thu Sep 27 00:44:13 +0000 2018,0.0,0.0,@CBS,@queenmama7777 @CBSAllAccess We believe in you! https://t.co/ZK0xaPRxVr,3
103,0.0,Thu Sep 27 00:42:15 +0000 2018,0.0,0.0,@CBS,@BSkyjackcity @jokersupdates @CBSAllAccess On it. https://t.co/yxKX9ry7fw,4
